#OTU ID	V2T4r5Croot	V2T4r5Broot	R6T2r5Croot	V2T2r2Broot	R3T2r5Broot	V2T2r2Croot	R3T4r5Croot	R3T1r5Aroot	R3T4r2Croot	V2T2r5Aroot	R6T2r5Broot	R6T1r1Broot	R6T1r2Croot	V2T1r6Aroot	R6T2r1Broot	V2T4r1Broot	R6T2r6Croot	R3T2r1Aroot	R6T2r6Aroot	V2T1r5Broot	V2T4r2Aroot	R6T4r5Croot	R6T4r5Broot	R3T4r6Croot	R6T2r2Aroot	R3T4r5Aroot	R3T2r1Broot	R6T1r5Croot	V2T4r6Croot	R3T1r6Aroot	R3T2r2Croot	R3T4r2Aroot	R3T2r5Aroot	V2T2r1Croot	V2T1r5Aroot	V2T1r1Broot	R3T4r6Aroot	R3T2r1Croot	V2T1r5Croot	R3T1r6Croot	R6T1r2Broot	V2T2r2Aroot	R3T2r6Broot	R6T1r1Aroot	R6T1r6Broot	R3T1r1Aroot	V2T1r2Aroot	R3T4r1Aroot	R6T2r5Aroot	R3T4r2Broot	R3T1r2Broot	R6T1r5Aroot	R3T1r1Croot	R3T4r5Broot	R6T1r2Aroot	R3T2r5Croot	R3T1r5Croot	V2T1r6Broot	R6T1r1Croot	R3T1r1Broot	V2T2r6Croot	R6T1r5Broot	V2T4r6Broot	V2T1r6Croot	R3T4r1Broot	V2T4r1Aroot	V2T4r6Aroot	V2T2r6Aroot	V2T2r1Aroot	R3T2r2Broot	V2T4r2Broot	R6T1r6Aroot	V2T1r1Croot	R6T2r2Croot	R6T2r2Broot	R6T2r1Aroot	V2T4r5Aroot	R6T4r1Aroot	V2T2r5Croot	R3T4r6Broot	R3T1r5Broot	V2T2r6Broot	R3T2r2Aroot	V2T1r1Aroot	R3T1r2Aroot	R6T2r1Croot	V2T2r5Broot	V2T4r1Croot	R3T1r6Broot	R3T4r1Croot	V2T1r2Croot	V2T4r2Croot	R3T2r6Croot	R6T1r6Croot	R6T2r6Broot	V2T2r1Broot	V2T1r2Broot	R3T2r6Aroot	R3T1r2Croot	NC1root	R6T4r6Aroot
OTU_1	3505	18880	82973	13747	11212	63779	60109	28412	40569	22800	50017	52756	14828	40317	13801	58001	79608	7938	20243	11102	7641	5	40122	49960	81204	108839	624	67805	43210	6419	53908	10503	2386	20324	3933	99803	16601	135822	12444	3957	92870	26697	82471	11187	6016	55133	9346	84510	38997	54402	42977	5433	4356	39402	67639	12136	21358	16975	7403	18301	59794	58396	10496	34687	23020	32591	35314	12424	6721	26251	27830	11818	7961	25329	1002	38869	1838	3323	22124	4112	4443	2068	4962	18506	19779	913	7309	8043	1973	4004	2712	3711	1491	8541	2561	2128	2363	486	6014	5	246
OTU_6	5	18390	5195	79	2	354	1518	3161	110	2225	5739	0	10227	146	524	21	715	187	1098	156	393	68	92	101	7801	5072	0	0	24	274	34726	48	79	318	33	7377	1113	24308	139	9	43	654	22990	0	72	5854	139	4049	33	565	24	39	0	6424	14	3420	2876	2	18	1122	2560	1284	773	9560	78	91	3	884	52	447	2404	14	5	15	0	11953	18	16	1037	0	120	55	277	0	2	4	69	231	1	326	21	118	290	0	6	315	78	0	18	0	3
OTU_16	124	1	444	1603	462	5204	4067	626	575	1334	4199	35	180	543	189	247	384	2305	320	200	53	7192	29	97	1499	1894	62	238	0	1062	3497	23	39	14	6	203	217	4986	32	117	625	130	3253	5	386	494	17	1441	273	567	132	16	0	151	16	193	347	273	36	276	92	119	1603	38	276	197	1550	149	203	326	1131	34	376	63	153	1987	1	3	395	0	528	11	35	44	162	26	63	1351	0	12	43	0	55	0	2	180	260	191	126	0	7
OTU_2	0	10233	93	33	33977	374	875	3465	8642	12185	0	490	3973	5975	6121	2359	13121	212	10632	8205	366	4	64631	18846	13245	1957	3687	2	33	2411	82	27764	1805	1192	3785	1098	309	219	211	293426	616	31056	955	0	3368	1694	64	1193	967	9	3	2	24719	0	1	98	9850	1397	2112	6921	12437	21078	1950	19	160	308	1775	481	4286	4834	98	1	2802	76	26	2639	47981	7212	1515	1	1176	7180	1	93	51355	10	38	787	40482	2020	2127	1487	33	0	387	1483	2182	1209	587	0	83
OTU_216	8	0	7	0	0	0	2	131	0	4	0	0	10	36	0	5	0	0	9	0	27	0	59	0	6	55	0	0	0	79	144	0	0	0	0	75	33	230	0	0	0	0	4	0	0	45	0	5	0	0	7	0	0	0	0	0	0	98	0	7	0	0	19	1	66	0	0	0	0	0	18	0	0	0	0	0	5	0	296	0	0	0	7	0	8	0	15	18	0	11	0	50	0	0	0	0	0	0	0	0	0
OTU_5	211	1241	50	3030	258	756	5641	26298	2193	12541	2372	3785	7439	8456	5659	2312	455	5866	2200	1029	17289	0	3349	2616	4413	13135	155	571	6410	1695	7764	5369	153	6572	161	6357	3758	5226	1008	1731	699	11011	8307	8	5379	19635	2071	5206	2526	30	18	3186	147	0	1915	240	4572	7020	1067	4946	7056	11799	1363	2481	1372	9210	3996	1667	2227	660	495	2336	348	1634	31	1197	2847	9168	474	98	58	987	1	395	6474	478	24	1517	294	211	84	2361	3546	3409	533	644	589	129	265	0	44
OTU_1289	0	26	3519	58	16	1782	10455	2744	10	631	1388	0	74	343	1	8	50	41	81	23	80	73	0	123	109	465	0	9	16	42	2260	1	38	72	0	47	23	122	0	0	209	96	16	0	15	2243	85	16784	29	41	350	37	0	602	4	541	243	38	49	323	1410	65	254	8684	0	62	0	102	102	254	2530	0	0	0	0	13691	9	0	103	0	372	4	329	0	0	4	214	20	0	17	0	1	13	0	0	73	30	0	16	0	1
OTU_369	0	29	0	0	0	0	0	3	9	0	0	0	51	6	14	52	0	0	10	16	0	0	110	54	6	0	0	0	14	0	0	0	0	11	7	9	0	0	2	24	0	19	0	0	0	0	0	0	0	0	0	0	13	0	0	1	133	0	19	0	4	0	0	8	47	18	0	0	198	0	0	19	0	81	0	0	59	1	0	6	12	101	0	0	50	0	0	109	1	0	9	10	0	0	0	0	19	0	0	0	1
OTU_34	0	18	604	3	1531	109	1170	2	63	29	15	0	90	26	3	1	1803	47	41	1013	54	70	15	545	2317	8	0	0	10	0	1568	409	55	46	8	0	146	505	0	236	15	1304	3	0	31	276	1	3185	0	10	9	0	0	139	0	0	655	4	8	195	220	267	1109	13	0	289	11	11	242	186	238	0	0	19	1	953	6	4	281	0	121	40	0	0	63	0	12	0	0	137	0	0	0	2	0	0	89	0	0	0	4
OTU_33	1	0	0	801	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18769	0	10	0	1	0	0	0	0	0	2435	0	553	1	474	0	133	0	0	0	0	0	0	0	261	0	0	7	0	0	0	0	5900	0	0	0	0	77	0	0	0	0	0	0	13	788	0	0	0	0	0	0	0	0	0	0	44	7970	0	379	5	469	0	0	0	11	5093	0	0	0	0	839	0	0	10	0	0	0	0	0	0
